id;task;action;hour;minute;second;millisecond
0;google;user credentials;21;34;45;148
0;google;sign in;21;34;54;932
0;google;totp;21;35;8;918
0;google;verify pin;21;35;19;958
0;securicast;user credentials;21;35;43;599
0;securicast;sign in;21;35;49;743
0;securicast;start web bluetooth;21;35;59;895
0;securicast;connecting;21;36;5;312
0;securicast;getting service;21;36;5;747
0;securicast;getting characteristic;21;36;8;880
0;securicast;writing characteristic;21;36;8;885
0;securicast;handling response;21;36;9;718
0;securicast_notification;user credentials;21;37;0;525
0;securicast_notification;sign in;21;37;5;747
0;securicast_notification;start web bluetooth;21;37;15;856
0;securicast_notification;connecting;21;37;20;526
0;securicast_notification;getting service;21;37;21;528
0;securicast_notification;getting characteristic;21;37;24;758
0;securicast_notification;writing characteristic;21;37;24;762
0;securicast_notification;handling response;21;37;34;971
1;google;user credentials;12;55;21;682
1;google;sign in;12;55;29;855
1;google;user credentials;12;55;55;226
1;google;sign in;12;56;3;407
1;google;totp;12;56;15;873
1;google;verify pin;12;56;22;690
1;securicast_notification;user credentials;12;58;0;511
1;securicast_notification;sign in;12;58;6;961
1;securicast_notification;start web bluetooth;12;58;9;393
1;securicast_notification;connecting;12;58;13;53
1;securicast_notification;getting service;12;58;14;528
1;securicast_notification;getting characteristic;12;58;17;899
1;securicast_notification;writing characteristic;12;58;17;906
1;securicast_notification;handling response;12;58;23;769
1;securicast;user credentials;13;0;16;869
1;securicast;sign in;13;0;23;920
1;securicast;user credentials;13;0;28;461
1;securicast;sign in;13;0;34;115
1;securicast;start web bluetooth;13;0;36;603
1;securicast;connecting;13;0;40;643
1;securicast;getting service;13;0;41;947
1;securicast;getting characteristic;13;0;45;31
1;securicast;writing characteristic;13;0;45;40
1;securicast;handling response;13;0;45;800
2;securicast;user credentials;15;7;8;227
2;securicast;sign in;15;7;15;16
2;securicast;start web bluetooth;15;7;19;440
2;securicast;connecting;15;7;23;497
2;securicast;getting service;15;7;24;651
2;securicast;getting characteristic;15;7;27;814
2;securicast;writing characteristic;15;7;27;824
2;securicast;handling response;15;7;28;643
2;google;user credentials;15;9;28;368
2;google;sign in;15;9;34;426
2;google;totp;15;9;45;235
2;google;verify pin;15;9;49;772
2;google;totp;15;9;58;274
2;google;verify pin;15;10;4;998
2;securicast_notification;user credentials;15;13;34;321
2;securicast_notification;sign in;15;13;40;109
2;securicast_notification;start web bluetooth;15;13;46;529
2;securicast_notification;connecting;15;13;51;402
2;securicast_notification;getting service;15;13;52;98
2;securicast_notification;getting characteristic;15;13;55;328
2;securicast_notification;writing characteristic;15;13;55;333
2;securicast_notification;handling response;15;14;3;724
3;securicast;user credentials;16;53;30;938
3;securicast;sign in;16;53;34;491
3;securicast;start web bluetooth;16;53;40;394
3;securicast;connecting;16;53;45;325
3;securicast;getting service;16;53;45;872
3;securicast;getting characteristic;16;53;49;370
3;securicast;writing characteristic;16;53;49;375
3;securicast;handling response;16;53;50;416
3;securicast_notification;user credentials;16;55;31;653
3;securicast_notification;sign in;16;55;35;6
3;securicast_notification;start web bluetooth;16;55;39;716
3;securicast_notification;connecting;16;55;45;168
3;securicast_notification;getting service;16;55;46;278
3;securicast_notification;getting characteristic;16;55;49;346
3;securicast_notification;writing characteristic;16;55;49;350
3;securicast_notification;handling response;16;55;58;517
3;google;user credentials;16;56;54;294
3;google;sign in;16;56;58;221
3;google;totp;16;57;3;620
3;google;verify pin;16;57;7;258
4;securicast_notification;user credentials;10;10;33;308
4;securicast_notification;sign in;10;10;43;948
4;securicast_notification;start web bluetooth;10;10;55;70
4;securicast_notification;connecting;10;11;13;711
4;securicast_notification;getting service;10;11;14;756
4;securicast_notification;getting characteristic;10;11;17;882
4;securicast_notification;writing characteristic;10;11;17;888
4;securicast_notification;handling response;10;11;59;467
4;google;user credentials;10;14;19;147
4;google;sign in;10;14;26;581
4;google;totp;10;14;51;518
4;google;verify pin;10;14;59;747
4;securicast;user credentials;10;16;19;171
4;securicast;sign in;10;16;25;914
4;securicast;start web bluetooth;10;16;30;733
4;securicast;connecting;10;16;36;403
4;securicast;getting service;10;16;37;76
4;securicast;getting characteristic;10;16;40;508
4;securicast;writing characteristic;10;16;40;511
4;securicast;handling response;10;16;41;421
5;securicast_notification;user credentials;11;12;36;236
5;securicast_notification;sign in;11;12;43;636
5;securicast_notification;start web bluetooth;11;13;29;60
5;securicast_notification;connecting;11;13;33;94
5;securicast_notification;getting service;11;13;33;672
5;securicast_notification;getting characteristic;11;13;36;59
5;securicast_notification;writing characteristic;11;13;36;63
5;securicast_notification;handling response;11;13;59;154
5;securicast;user credentials;11;15;48;366
5;securicast;sign in;11;15;52;446
5;securicast;user credentials;11;15;57;989
5;securicast;sign in;11;16;2;279
5;securicast;start web bluetooth;11;16;4;848
5;securicast;connecting;11;16;9;121
5;securicast;getting service;11;16;9;911
5;securicast;getting characteristic;11;16;13;220
5;securicast;writing characteristic;11;16;13;229
5;securicast;handling response;11;16;13;904
5;google;user credentials;11;17;37;114
5;google;sign in;11;17;41;692
5;google;totp;11;17;49;762
5;google;verify pin;11;17;54;717
6;google;user credentials;14;24;8;280
6;google;sign in;14;24;10;20
6;google;totp;14;24;15;116
6;google;verify pin;14;24;21;399
6;securicast;user credentials;14;25;55;795
6;securicast;sign in;14;26;0;4
6;securicast;start web bluetooth;14;26;4;408
6;securicast;connecting;14;26;8;36
6;securicast;getting service;14;26;8;749
6;securicast;getting characteristic;14;26;11;975
6;securicast;writing characteristic;14;26;11;988
6;securicast;handling response;14;26;12;951
6;securicast_notification;user credentials;14;27;37;427
6;securicast_notification;sign in;14;27;44;624
6;securicast_notification;start web bluetooth;14;27;49;241
6;securicast_notification;connecting;14;27;53;192
6;securicast_notification;start web bluetooth;14;28;7;740
6;securicast_notification;connecting;14;28;12;242
6;securicast_notification;getting service;14;28;13;215
6;securicast_notification;getting characteristic;14;28;16;644
6;securicast_notification;writing characteristic;14;28;16;648
6;securicast_notification;handling response;14;28;26;21
7;google;user credentials;14;47;49;4
7;google;sign in;14;47;55;583
7;google;totp;14;48;17;695
7;google;verify pin;14;48;24;971
7;securicast_notification;user credentials;14;52;46;612
7;securicast_notification;sign in;14;52;54;274
7;securicast_notification;start web bluetooth;14;52;59;45
7;securicast_notification;connecting;14;53;4;450
7;securicast_notification;getting service;14;53;5;182
7;securicast_notification;getting characteristic;14;53;8;823
7;securicast_notification;writing characteristic;14;53;8;826
7;securicast_notification;handling response;14;53;15;263
7;securicast;user credentials;14;57;38;30
7;securicast;sign in;14;57;43;489
7;securicast;start web bluetooth;14;57;49;942
7;securicast;connecting;14;57;54;149
7;securicast;getting service;14;57;54;838
7;securicast;getting characteristic;14;57;58;132
7;securicast;writing characteristic;14;57;58;137
7;securicast;handling response;14;57;58;901
8;securicast;user credentials;15;10;8;477
8;securicast;sign in;15;10;13;324
8;securicast;start web bluetooth;15;10;25;485
8;securicast;connecting;15;10;31;16
8;securicast;getting service;15;10;32;441
8;securicast;disconnected;15;10;35;172
8;securicast;connecting;15;10;35;174
8;securicast;start web bluetooth;15;10;45;209
8;securicast;connecting;15;10;49;28
8;securicast;getting service;15;10;49;520
8;securicast;writing characteristic;15;10;52;685
8;securicast;getting characteristic;15;10;52;679
8;securicast;handling response;15;10;53;444
8;google;user credentials;15;12;44;322
8;google;sign in;15;12;47;631
8;google;totp;15;12;54;645
8;google;verify pin;15;13;7;170
8;securicast_notification;user credentials;15;15;17;86
8;securicast_notification;sign in;15;15;21;83
8;securicast_notification;start web bluetooth;15;15;28;487
8;securicast_notification;connecting;15;15;33;974
8;securicast_notification;getting service;15;15;34;557
8;securicast_notification;getting characteristic;15;15;37;922
8;securicast_notification;writing characteristic;15;15;37;936
8;securicast_notification;handling response;15;15;47;585
9;securicast;user credentials;16;18;49;262
9;securicast;sign in;16;18;54;79
9;securicast;start web bluetooth;16;19;1;499
9;securicast;connecting;16;19;9;841
9;securicast;getting service;16;19;11;350
9;securicast;getting characteristic;16;19;15;134
9;securicast;writing characteristic;16;19;15;145
9;securicast;handling response;16;19;16;317
9;securicast_notification;user credentials;16;23;41;186
9;securicast_notification;sign in;16;23;43;850
9;securicast_notification;start web bluetooth;16;23;46;169
9;securicast_notification;connecting;16;23;48;911
9;securicast_notification;getting service;16;23;50;84
9;securicast_notification;writing characteristic;16;23;54;153
9;securicast_notification;getting characteristic;16;23;54;149
9;securicast_notification;handling response;16;23;57;226
9;google;user credentials;16;25;46;963
9;google;sign in;16;25;50;686
9;google;totp;16;25;56;277
9;google;verify pin;16;26;8;345
10;securicast_notification;user credentials;18;5;56;37
10;securicast_notification;sign in;18;6;7;727
10;securicast_notification;start web bluetooth;18;6;14;959
10;securicast_notification;connecting;18;6;18;373
10;securicast_notification;getting service;18;6;19;656
10;securicast_notification;getting characteristic;18;6;24;776
10;securicast_notification;writing characteristic;18;6;24;783
10;securicast_notification;handling response;18;6;30;989
10;google;user credentials;18;8;12;907
10;google;sign in;18;8;16;663
10;google;totp;18;8;44;172
10;google;verify pin;18;8;48;698
10;securicast;user credentials;18;11;47;706
10;securicast;sign in;18;11;50;939
10;securicast;start web bluetooth;18;11;55;99
10;securicast;connecting;18;11;58;33
10;securicast;getting service;18;11;58;511
10;securicast;getting characteristic;18;12;1;524
10;securicast;writing characteristic;18;12;1;529
10;securicast;handling response;18;12;2;366
11;securicast_notification;user credentials;11;33;16;506
11;securicast_notification;sign in;11;33;23;212
11;securicast_notification;start web bluetooth;11;33;27;200
11;securicast_notification;connecting;11;33;33;909
11;securicast_notification;getting service;11;33;42;504
11;securicast_notification;getting characteristic;11;33;45;32
11;securicast_notification;writing characteristic;11;33;45;39
11;securicast_notification;handling response;11;33;49;153
11;securicast;user credentials;11;35;23;173
11;securicast;sign in;11;35;27;475
11;securicast;start web bluetooth;11;35;29;585
11;securicast;connecting;11;35;35;158
11;securicast;getting service;11;35;35;698
11;securicast;getting characteristic;11;35;39;59
11;securicast;writing characteristic;11;35;39;63
11;securicast;handling response;11;35;39;965
11;google;user credentials;11;36;47;579
11;google;sign in;11;36;51;938
11;google;totp;11;37;4;34
11;google;verify pin;11;37;7;101
12;google;user credentials;13;21;52;961
12;google;sign in;13;21;55;388
12;google;totp;13;22;11;483
12;google;verify pin;13;22;15;539
12;securicast;user credentials;13;24;34;299
12;securicast;sign in;13;24;41;666
12;securicast;start web bluetooth;13;24;49;326
12;securicast;connecting;13;24;52;886
12;securicast;getting service;13;24;53;589
12;securicast;getting characteristic;13;24;56;819
12;securicast;writing characteristic;13;24;56;824
12;securicast;handling response;13;24;57;792
12;securicast_notification;user credentials;13;26;50;471
12;securicast_notification;sign in;13;26;54;21
12;securicast_notification;start web bluetooth;13;27;3;156
12;securicast_notification;connecting;13;27;10;420
12;securicast_notification;getting service;13;27;11;207
12;securicast_notification;getting characteristic;13;27;14;499
12;securicast_notification;writing characteristic;13;27;14;503
12;securicast_notification;handling response;13;27;27;308
13;google;user credentials;13;34;24;803
13;google;sign in;13;34;28;58
13;google;totp;13;34;39;702
13;google;verify pin;13;34;43;687
13;securicast_notification;user credentials;13;37;47;362
13;securicast_notification;sign in;13;37;50;162
13;securicast_notification;start web bluetooth;13;37;56;998
13;securicast_notification;connecting;13;38;0;382
13;securicast_notification;getting service;13;38;1;922
13;securicast_notification;getting characteristic;13;38;5;495
13;securicast_notification;writing characteristic;13;38;5;498
13;securicast_notification;handling response;13;38;19;5
13;securicast;user credentials;13;40;30;589
13;securicast;sign in;13;40;32;721
13;securicast;user credentials;13;40;38;86
13;securicast;sign in;13;40;39;868
13;securicast;start web bluetooth;13;40;43;115
13;securicast;connecting;13;40;45;565
13;securicast;getting service;13;40;46;841
13;securicast;getting characteristic;13;40;50;65
13;securicast;writing characteristic;13;40;50;71
13;securicast;handling response;13;40;51;46
14;securicast;user credentials;15;36;44;824
14;securicast;sign in;15;36;55;863
14;securicast;start web bluetooth;15;37;1;371
